,R^2,slope
distilgpt2_pretrained_wikitext_4,0.9274207452492228,-0.0018416213589891824
distilbert-base-uncased_pretrained_wikitext_4,0.9345910803801348,-0.0017478809466543043
distilbert-base-uncased_random_wikitext_4,0.9452088348114119,-0.0017062667851696443
distilgpt2_random_wikitext_4,0.9120110353837344,-0.0008728022269669884
